AC No,Year,Rank,Candidate,Party,Alliance,Votes,Valid Votes,Electors,Voteshare,Margin
40,2020,16,DEVA SHANKAR ARYA,BLRP,Other,423,209006,341847,0.2024,-78100
41,2020,1,ANIRUDDHA PRASAD YADAV,JD(U),NDA,92439,187394,296989,49.3287,43922
41,2020,2,YADUBANSH KUMAR YADAV,RJD,MGB,48517,187394,296989,25.8904,-43922
41,2020,3,ARJUN PRASAD MEHTA,RLSP,GDSF,12725,187394,296989,6.7905,-79714
41,2020,4,VIJAY KUMAR YADAV,JAPL,Other,8886,187394,296989,4.7419,-83553
41,2020,5,GAUTAM KUMAR,LJP,Other,6345,187394,296989,3.3859,-86094
41,2020,6,NOTA,NOTA,Other,4781,187394,296989,2.5513,-87658
41,2020,7,AMAN KUMAR SAMAJSEVI,IND,Other,3175,187394,296989,1.6943,-89264
41,2020,8,MANOJ KUMAR,IND,Other,2392,187394,296989,1.2765,-90047
41,2020,9,GYANSHANKER CHOUDHARY,IND,Other,2031,187394,296989,1.0838,-90408
41,2020,10,DHIRAJ KUMAR,TPLRSP,Other,1153,187394,296989,0.6153,-91286
41,2020,11,RAVINDRA PRASAD SAH,RSSCMJP,Other,988,187394,296989,0.5272,-91451
41,2020,12,RAMDEV SHARMA,PPID,Other,972,187394,296989,0.5187,-91467
41,2020,13,SHAMBHU CHOUDHARY,NCP,Other,933,187394,296989,0.4979,-91506
41,2020,14,KRISHNAAVATAR SINGH,BRCTP,Other,772,187394,296989,0.4120,-91667
41,2020,15,PAPPU YADAV,PSS,Other,694,187394,296989,0.3703,-91745
41,2020,16,GOSAI MANDAL,JTVP,Other,591,187394,296989,0.3154,-91848
42,2020,1,RAMBILASH KAMAT,JD(U),NDA,82388,181673,289160,45.3496,19245
42,2020,2,VISHWA MOHAN KUMAR,RJD,MGB,63143,181673,289160,34.7564,-19245
42,2020,3,SHAKUNTALA PRASAD,LJP,Other,5660,181673,289160,3.1155,-76728
42,2020,4,MAHENDRA SAH,JAPL,Other,3770,181673,289160,2.0752,-78618
42,2020,5,RAJU KUMAR,PSS,Other,3563,181673,289160,1.9612,-78825
42,2020,6,MAHENDRA PRASAD CHOUDHARY,IND,Other,3055,181673,289160,1.6816,-79333
42,2020,7,RAJESH KUMAR,TPLRSP,Other,2923,181673,289160,1.6089,-79465
42,2020,8,NOTA,NOTA,Other,2633,181673,289160,1.4493,-79755
42,2020,9,AMIT KUMAR SINGH,IND,Other,2508,181673,289160,1.3805,-79880
42,2020,10,RANJEET PASWAN,BhNP,Other,1927,181673,289160,1.0607,-80461
42,2020,11,OM PRAKASH ROY,NCP,Other,1927,181673,289160,1.0607,-80461
42,2020,12,Manoj Kumar Mandal,PBLBRP,Other,1339,181673,289160,0.7370,-81049
42,2020,13,CHANDRA KISHOR YADAV,IND,Other,1334,181673,289160,0.7343,-81054
42,2020,14,GAUTAM KUMAR,JDR,Other,1182,181673,289160,0.6506,-81206
42,2020,15,ASIF KAMAL,RSTWDMNRTP,Other,1098,181673,289160,0.6044,-81290
